survey,page,topic,base_desc,group,segment,sample_n,item,value
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 60세 이상,116,3. 보통,10.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 60세 이상,116,4. 대체로 만족,60.7
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 60세 이상,116,5. 매우 만족,22.6
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 60세 이상,116,긍정응답 (4+5) 비율,83.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 60세 이상,116,5점 평균 (점),3.9
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 15~19세,56,1. 매우 불만족,1.5
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 15~19세,56,2. 대체로 불만족,3.0
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 15~19세,56,3. 보통,6.2
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 15~19세,56,4. 대체로 만족,42.8
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 15~19세,56,5. 매우 만족,46.5
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 15~19세,56,긍정응답 (4+5) 비율,89.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 15~19세,56,5점 평균 (점),4.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 20대,177,1. 매우 불만족,4.0
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 20대,177,2. 대체로 불만족,0.4
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 20대,177,3. 보통,9.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 20대,177,4. 대체로 만족,40.8
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 20대,177,5. 매우 만족,45.7
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 20대,177,긍정응답 (4+5) 비율,86.4
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 20대,177,5점 평균 (점),4.2
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 30대,237,1. 매우 불만족,1.5
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 30대,237,2. 대체로 불만족,3.0
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 30대,237,3. 보통,8.4
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 30대,237,4. 대체로 만족,43.7
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 30대,237,5. 매우 만족,43.4
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 30대,237,긍정응답 (4+5) 비율,87.2
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 30대,237,5점 평균 (점),4.2
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 40대,162,1. 매우 불만족,1.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 40대,162,2. 대체로 불만족,0.6
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 40대,162,3. 보통,5.7
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 40대,162,4. 대체로 만족,49.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 40대,162,5. 매우 만족,43.4
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 40대,162,긍정응답 (4+5) 비율,92.6
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 40대,162,5점 평균 (점),4.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 50대,127,1. 매우 불만족,2.6
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 50대,127,2. 대체로 불만족,1.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 50대,127,3. 보통,8.6
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 50대,127,4. 대체로 만족,55.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 50대,127,5. 매우 만족,32.4
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 50대,127,긍정응답 (4+5) 비율,87.5
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 50대,127,5점 평균 (점),4.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 60세 이상,212,2. 대체로 불만족,3.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 60세 이상,212,3. 보통,10.8
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 60세 이상,212,4. 대체로 만족,39.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 60세 이상,212,5. 매우 만족,47.0
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 60세 이상,212,긍정응답 (4+5) 비율,86.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,여성 60세 이상,212,5점 평균 (점),4.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",거주국별,중국,698,1. 매우 불만족,0.4
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",거주국별,중국,698,2. 대체로 불만족,0.8
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",거주국별,중국,698,3. 보통,7.1
